,ano_ingresso,tot_ingressantes,tot_desistentes,tot_concluintes
0,2010,2573449.0,1531068.8890025946,1019203.1796628329
1,2011,2575011.0,1506621.569670802,1029354.3938958419
2,2012,2899850.0,1696596.187160849,1134479.9431315921
3,2013,2937154.0,1655009.2885990841,1155583.0927009354
4,2014,3179187.0,1801329.054267928,1109330.557584305
5,2015,3031853.0,1648304.6090954961,849985.508123948
